Asus ROG Flow Z13 (2025),AMD Ryzen AI MAX+ 395,AMD Radeon 8060S (tích hợp),70 Wh,1.2 kg,13.4 inch,2560 x 1600 pixel,2.950,19.855,83.206,https://laplap.tech/device/61
Asus Zenbook 14 OLED UX3405CA,Intel Core Ultra 5 225H,Intel Arc 130T (tích hợp),75 Wh,1.275 kg,14 inch,2880 x 1800 pixel,2.705,13.348,36.282,https://laplap.tech/device/60
Asus Zenbook A14,Qualcomm Snapdragon X X1-26-100,Qualcomm Adreno GPU,75 Wh,980 g,14 inch,1920 x 1200 pixel,2.117,9.828,9.509,https://laplap.tech/device/59
ROG Zephyrus G14 (2024) GA403,AMD Ryzen 9 8945HS,NVIDIA RTX 4070,73 Wh,1.483 kg,14 inch,2880 x 1800 pixel,2.378,11.961,112.761,https://laplap.tech/device/58
Lenovo Legion 7 16IRX9 83FD004MVN,Intel Core i9-14900HX,NVIDIA RTX 4070,100 Wh,2.274 kg,16 inch,3200 x 2000 pixel,2.868,17.230,115.600,https://laplap.tech/device/57
Lenovo ThinkPad P1 Gen 7,Intel Core Ultra 7 155H,NVIDIA RTX 2000 Ada,90 Wh,1.82 kg,16 inch,3840 x 2400 pixel,2.363,12.910,95.515,https://laplap.tech/device/56
HP EliteBook 635 Aero 13.3 inch G11,AMD Ryzen 7 8840HS,AMD Radeon 780M,43 Wh,1 kg,13.3 inch,1920 x 1200 pixel,2.386,10.512,24.991,https://laplap.tech/device/55
Lenovo Yoga Slim 7i Aura Edition,Intel Core Ultra 7 258V,Intel Arc Graphics 140V (tích hợp),70 Wh,1.536 kg,15.3 inch,2880 x 1800 pixel,2.748,10.825,27.120,https://laplap.tech/device/54
ExpertBook P1 (P1403),Intel Core i5-13500H,Intel Iris Xe,63 Wh,1.42 kg,14 inch,1920 x 1080 pixel,--,--,13.248,https://laplap.tech/device/53
Lenovo IdeaPad Slim 5 14Q8X9 X1P-42-100,Qualcomm Snapdragon X Plus X1P42100,Qualcomm Adreno GPU,57 Wh,1.48 kg,14 inch,1920 x 1200 pixel,--,--,9.966,https://laplap.tech/device/52
Acer Gaming Predator Triton 500 SE PT516-52s-75E3 NH.QFQSV.001,Intel Core i7-12700H,NVIDIA RTX 3070 Ti,99.9 Wh,2.4 kg,16 inch,2560 x 1600 pixel,--,--,102.727,https://laplap.tech/device/51
Acer Swift 14 AI SF14-51-75VP,Intel Core Ultra 7 258V,Intel Arc Graphics 140V (tích hợp),65 Wh,1.2 kg,14 inch,2880 x 1800 pixel,--,--,29.199,https://laplap.tech/device/50
ASUS TUF Gaming F15 FX507VU-LP315W,--,NVIDIA RTX 4050,90 Wh,2.2 kg,15.6 inch,1920 x 1080 pixel,--,--,83.903,https://laplap.tech/device/49
Lenovo ThinkBook 16p Gen 5,Intel Core i7-14650HX,NVIDIA RTX 4060,80 Wh,2.19 kg,16 inch,2560 x 1600 pixel,--,--,92.430,https://laplap.tech/device/48
HP Envy x360 16-ac0013dx,Intel Core Ultra 5 125H,Intel Arc graphics GEN 1 (tích hợp),59 Wh,1.34 kg,14 inch,2880 x 1800 pixel,--,--,--,https://laplap.tech/device/47
ASUS Vivobook S 14 OLED (S5406),Intel Core Ultra 5 125H,Intel Arc graphics GEN 1 (tích hợp),75 Wh,1.3 kg,14 inch,2880 x 1800 pixel,--,--,31.094,https://laplap.tech/device/46
Gigabyte AORUS 16X ASG 53VNC54SH,Intel Core i7-14650HX,NVIDIA RTX 4070,99 Wh,2.343 kg,16 inch,2560 x 1600 pixel,2.609,14.560,129.836,https://laplap.tech/device/45
ASUS Gaming VivoBook K3605ZF-RP634W,Intel Core i5-12500H,NVIDIA RTX 2050,50 Wh,1.8 kg,16 inch,1920 x 1200 pixel,--,--,43.822,https://laplap.tech/device/44
ROG Zephyrus G16 GA605WI-QR090WS,AMD Ryzen AI 9 HX 370,NVIDIA RTX 4070,90 Wh,1.85 kg,16 inch,2560 x 1600 pixel,--,--,109.512,https://laplap.tech/device/43
Apple Macbook Pro M3 14",Apple M3,Apple M3,70 Wh,1.55 kg,14.2 inch,3024 x 1964 pixel,--,--,30.479,https://laplap.tech/device/42
MSI Cyborg 15 AI A1VEK-053VN,Intel Core Ultra 7 155H,NVIDIA RTX 4050,53.5 Wh,1.98 kg,15.6 inch,1920 x 1080 pixel,,,,https://laplap.tech/device/41
HP Gaming Victus 16-r1182TX A2NN6PA,Intel Core i5-14450HX,NVIDIA RTX 4050,70 Wh,2.31 kg,16.1 inch,1920 x 1080 pixel,--,--,82.733,https://laplap.tech/device/40
MSI Katana 15 B13VFK 676VN,--,NVIDIA RTX 4060,54 Wh,2.2 kg,15.6 inch,1920 x 1080 pixel,--,--,92.836,https://laplap.tech/device/39
HP OMEN 16 xf0070AX,AMD Ryzen 9 7940HS,NVIDIA RTX 4070,83 Wh,2.4 kg,16.1 inch,2560 x 1440 pixel,--,--,115.478,https://laplap.tech/device/38
ASUS Vivobook S 14 M5406WA-PP071WS,AMD Ryzen AI 9 HX 370,AMD Radeon 890M (tích hợp),75 Wh,1.3 kg,14 inch,2880 x 1800 pixel,--,--,37.188,https://laplap.tech/device/37
