name,cpu,gpu,batteryWh,weightKg,screenInch,resW,resH,totalPixels,gpuScore,cpuSingle,cpuMulti,hasDiscreteGpu,isAmd,isIntel,isApple,normBattery,normWeight,normScreen,normResolution,normGpuScore,normCpuMulti,normCpuSingle,category,link
ASUS TUF Gaming F16 (FX608JMR-RV048W),Intel Core i7-14650HX,NVIDIA RTX 5060,92.000,2.267,16.000,1920,1200,2304000,2666.000,15215.000,115821.000,0,0,1,0,0.8621,0.4540,0.6000,0.0323,0.4564,0.4896,0.4307,null,https://laplap.tech/device/118
ASUS Vivobook S14,AMD Ryzen AI 7 350,AMD Radeon 860M,70.000,1.400,14.000,1920,1200,2304000,2794.000,13228.000,24942.000,0,1,0,0,0.4828,0.7493,0.2000,0.0323,0.4990,0.0833,0.3543,null,https://laplap.tech/device/117
ASUS Vivobook S14,Qualcomm Snapdragon X X1-26-100,Qualcomm Adreno GPU,70.000,1.400,14.000,1920,1200,2304000,2136.000,10308.000,9620.000,0,0,0,0,0.4828,0.7493,0.2000,0.0323,0.2801,0.0148,0.2419,null,https://laplap.tech/device/116
ASUS ROG Strix G16,Intel Core Ultra 7 255HX,RTX 5070Ti Mobile,90.000,2.554,16.000,2560,1600,4096000,2909.000,15723.000,159878.000,0,0,1,0,0.8276,0.3563,0.6000,0.2832,0.5373,0.6866,0.4502,null,https://laplap.tech/device/115
ASUS Vivobook S14 OLED M5406KA-PP134WS,AMD Ryzen AI 7 350,AMD Radeon 860M,75.000,1.297,14.000,2560,1600,4096000,2836.000,13019.000,25128.000,0,1,0,0,0.5690,0.7844,0.2000,0.2832,0.5130,0.0841,0.3462,null,https://laplap.tech/device/114
ASUS Expertbook P3,Intel Core i5-13420H,UHD Graphics,63.000,1.795,16.000,2560,1600,4096000,2325.000,9174.000,9749.000,0,0,1,0,0.3621,0.6148,0.6000,0.2832,0.3430,0.0154,0.1983,null,https://laplap.tech/device/113
Acer Aspire Lite 14,Intel Core i5-1334U,UHD Graphics,58.000,1.450,14.000,1920,1080,2073600,1594.000,5884.000,11437.000,0,0,1,0,0.2759,0.7323,0.2000,0.0000,0.0998,0.0229,0.0718,null,https://laplap.tech/device/112
Acer Aspire Lite 16,Intel Core i7-1355U,UHD Graphics,58.000,1.832,16.000,1920,1080,2073600,2538.000,7718.000,13399.000,0,0,1,0,0.2759,0.6022,0.6000,0.0000,0.4138,0.0317,0.1423,null,https://laplap.tech/device/111
Acer Aspire Go 15,Intel Core i3-N305,UHD Graphics,52.000,1.700,15.600,1920,1080,2073600,1294.000,4018.000,6315.000,0,0,1,0,0.1724,0.6471,0.5200,0.0000,0.0000,0.0000,0.0000,null,https://laplap.tech/device/110
Acer Aspire 5 15,Intel Core i5-13420H,UHD Graphics,50.000,1.810,15.600,1920,1200,2304000,2314.000,8015.000,45160.000,0,0,1,0,0.1379,0.6097,0.5200,0.0323,0.3393,0.1737,0.1537,null,https://laplap.tech/device/109
Acer Nitro V 15,Intel Core i5-13420H,NVIDIA RTX 5050,76.000,2.137,15.600,1920,1200,2304000,2117.000,6718.000,82546.000,0,0,1,0,0.5862,0.4983,0.5200,0.0323,0.2738,0.3408,0.1039,null,https://laplap.tech/device/108
Lenovo Legion 7i Gen 10,Intel Core Ultra 9 275HX,RTX 5070 Mobile,84.000,1.959,16.000,2560,1600,4096000,3026.000,19023.000,144125.000,0,0,1,0,0.7241,0.5589,0.6000,0.2832,0.5762,0.6161,0.5772,null,https://laplap.tech/device/107
Lenovo Legion 5i Gen 10,Intel Core Ultra 7 255HX,RTX 5070 Mobile,83.000,1.933,15.100,2560,1600,4096000,2887.000,17614.000,147085.000,0,0,1,0,0.7069,0.5678,0.4200,0.2832,0.5299,0.6294,0.5230,null,https://laplap.tech/device/106
ASUS Vivobook S14,Intel Core Ultra 7 255H,Intel Arc Graphics 140T (tích hợp),70.000,1.400,14.000,1920,1200,2304000,2692.000,11560.000,26863.000,0,0,1,0,0.4828,0.7493,0.2000,0.0323,0.4651,0.0919,0.2901,null,https://laplap.tech/device/105
ASUS Vivobook S14 OLED,AMD Ryzen AI 9 HX 370,AMD Radeon 890M (tích hợp),75.000,1.300,14.000,2880,1800,5184000,2859.000,15066.000,40450.000,0,1,0,0,0.5690,0.7834,0.2000,0.4355,0.5206,0.1526,0.4250,null,https://laplap.tech/device/104
Asus TUF A14 (2025),AMD Ryzen AI 7 350,NVIDIA RTX 5060,73.000,1.460,14.000,2560,1600,4096000,2886.000,13752.000,105844.000,0,1,0,0,0.5345,0.7289,0.2000,0.2832,0.5296,0.4450,0.3744,null,https://laplap.tech/device/103
Acer Predator Helios Neo 16 AI 2025,Intel Core Ultra 7 255HX,NVIDIA RTX 5060,90.000,2.440,16.000,2560,1600,4096000,2881.000,16298.000,101639.000,0,0,1,0,0.8276,0.3951,0.6000,0.2832,0.5279,0.4262,0.4723,null,https://laplap.tech/device/102
HP OmniBook Ultra Flip 2-in-1,Intel Core Ultra 7 256V,Intel Arc 130T (tích hợp),63.000,1.366,14.000,2880,1800,5184000,2646.000,10616.000,28689.000,0,0,1,0,0.3621,0.7609,0.2000,0.4355,0.4498,0.1000,0.2538,null,https://laplap.tech/device/101
Gigabyte Gaming AERO X16 (1VH-93VNC64AH),AMD Ryzen AI 7 350,NVIDIA RTX 5060,76.000,2.026,16.000,2560,1600,4096000,2876.000,13709.000,104334.000,0,1,0,0,0.5862,0.5361,0.6000,0.2832,0.5263,0.4382,0.3728,null,https://laplap.tech/device/94
ASUS TUF Gaming F16 (FX608JPR-RV044W),Intel Core i7-14650HX,NVIDIA RTX 5050,92.000,2.267,16.000,1920,1200,2304000,2597.000,12715.000,83361.000,0,0,1,0,0.8621,0.4540,0.6000,0.0323,0.4335,0.3445,0.3345,null,https://laplap.tech/device/93
ASUS TUF Gaming F16 FX607VU-RL045W,Intel Core 5 210H,NVIDIA RTX 4050,54.000,2.026,16.000,1920,1200,2304000,2597.000,12715.000,83361.000,0,0,1,0,0.2069,0.5361,0.6000,0.0323,0.4335,0.3445,0.3345,null,https://laplap.tech/device/92
MSI Titan 18 HX AI A2XW,Intel Core Ultra 9 285HX,NVIDIA RTX 5090 Mobile,99.900,3.600,18.000,3840,2400,9216000,2555.000,17525.000,229988.000,0,0,1,0,0.9983,0.0000,1.0000,1.0000,0.4195,1.0000,0.5195,null,https://laplap.tech/device/91
Lenovo ThinkPad X9 14 Aura Edition (Gen 1),Intel Core Ultra 7 258V,Intel Arc Graphics 140V (tích hợp),55.000,1.240,14.000,2880,1800,5184000,2724.000,10879.000,28576.000,0,0,1,0,0.2241,0.8038,0.2000,0.4355,0.4757,0.0995,0.2639,null,https://laplap.tech/device/90
Lenovo Yoga Slim 9i Aura Edition,Intel Core Ultra 7 258V,Intel Arc Graphics 140V (tích hợp),75.000,1.230,14.000,3840,2400,9216000,2728.000,11068.000,26934.000,0,0,1,0,0.5690,0.8072,0.2000,1.0000,0.4770,0.0922,0.2712,null,https://laplap.tech/device/89
LG gram 16 (2025),Intel Core Ultra 5 226V,Intel Arc Graphics 130V,77.000,1.239,16.000,2560,1600,4096000,2518.000,8980.000,22596.000,0,0,1,0,0.6034,0.8042,0.6000,0.2832,0.4072,0.0728,0.1909,null,https://laplap.tech/device/88
Lenovo ThinkPad X1 Carbon Gen 13,Intel Core Ultra 7 258V,Intel Arc Graphics 140V (tích hợp),57.000,0.986,14.000,2880,1800,5184000,2669.000,10838.000,27019.000,0,0,1,0,0.2586,0.8903,0.2000,0.4355,0.4574,0.0926,0.2623,null,https://laplap.tech/device/87
ASUS Gaming V16 (V3607),Intel Core 5 210H,Intel Arc graphics GEN 1 (tích hợp),63.000,1.964,16.000,1920,1200,2304000,2426.000,9181.000,73668.000,0,0,1,0,0.3621,0.5572,0.6000,0.0323,0.3766,0.3011,0.1986,null,https://laplap.tech/device/86
Lenovo IdeaPad Slim 5 OLED,AMD Ryzen 7 8845HS,AMD Radeon 780M,60.000,1.390,14.000,1920,1200,2304000,2037.000,6852.000,17330.000,0,1,0,0,0.3103,0.7527,0.2000,0.0323,0.2472,0.0492,0.1090,null,https://laplap.tech/device/85
HP Omnibook Ultra Flip 14,Intel Core Ultra 9 288V,Intel Arc Graphics 140V (tích hợp),64.000,1.340,14.000,2880,1800,5184000,2847.000,11080.000,30555.000,0,0,1,0,0.3793,0.7698,0.2000,0.4355,0.5166,0.1084,0.2716,null,https://laplap.tech/device/84
Asus Vivobook S 14,Intel Core Ultra 7 255H,Intel Arc Graphics 140T (tích hợp),70.000,1.400,14.000,1920,1200,2304000,2733.000,11804.000,28573.000,0,0,1,0,0.4828,0.7493,0.2000,0.0323,0.4787,0.0995,0.2995,null,https://laplap.tech/device/83
Asus Gaming V16 2025,Intel Core 5 210H,NVIDIA RTX 4050,63.000,1.950,16.000,1920,1200,2304000,2330.000,9410.000,73962.000,0,0,1,0,0.3621,0.5620,0.6000,0.0323,0.3446,0.3024,0.2074,null,https://laplap.tech/device/82
Samsung Galaxy Tab S10+ FE,Samsung Exynos 1580,Samsung Exynos 1580,0.000,0.664,13.100,2880,1800,5184000,0.000,0.000,0.000,0,0,0,0,0.0000,1.0000,0.0200,0.4355,0.0000,0.0000,0.0000,null,https://laplap.tech/device/81
