name,cpu,gpu,batteryWh,weightKg,screenInch,resW,resH,totalPixels,gpuScore,cpuSingle,cpuMulti,hasDiscreteGpu,isAmd,isIntel,isApple,normBattery,normWeight,normScreen,normResolution,normGpuScore,normCpuMulti,normCpuSingle,category,link
Lenovo IdeaPad Slim 5 14Q8X9 X1P-42-100,Qualcomm Snapdragon X Plus X1P42100,Qualcomm Adreno GPU,57.000,1.480,14.000,1920,1200,2304000,0.000,0.000,9966.000,0,0,0,0,0.2586,0.7221,0.2000,0.0323,0.0000,0.0163,0.0000,null,https://laplap.tech/device/52
Acer Gaming Predator Triton 500 SE PT516-52s-75E3 NH.QFQSV.001,Intel Core i7-12700H,NVIDIA RTX 3070 Ti,99.900,2.400,16.000,2560,1600,4096000,0.000,0.000,102727.000,0,0,1,0,0.9983,0.4087,0.6000,0.2832,0.0000,0.4310,0.0000,null,https://laplap.tech/device/51
Acer Swift 14 AI SF14-51-75VP,Intel Core Ultra 7 258V,Intel Arc Graphics 140V (tích hợp),65.000,1.200,14.000,2880,1800,5184000,0.000,0.000,29199.000,0,0,1,0,0.3966,0.8174,0.2000,0.4355,0.0000,0.1023,0.0000,null,https://laplap.tech/device/50
ASUS TUF Gaming F15 FX507VU-LP315W,--,NVIDIA RTX 4050,90.000,2.200,15.600,1920,1080,2073600,0.000,0.000,83903.000,0,0,0,0,0.8276,0.4768,0.5200,0.0000,0.0000,0.3469,0.0000,null,https://laplap.tech/device/49
Lenovo ThinkBook 16p Gen 5,Intel Core i7-14650HX,NVIDIA RTX 4060,80.000,2.190,16.000,2560,1600,4096000,0.000,0.000,92430.000,0,0,1,0,0.6552,0.4802,0.6000,0.2832,0.0000,0.3850,0.0000,null,https://laplap.tech/device/48
HP Envy x360 16-ac0013dx,Intel Core Ultra 5 125H,Intel Arc graphics GEN 1 (tích hợp),59.000,1.340,14.000,2880,1800,5184000,0.000,0.000,0.000,0,0,1,0,0.2931,0.7698,0.2000,0.4355,0.0000,0.0000,0.0000,null,https://laplap.tech/device/47
ASUS Vivobook S 14 OLED (S5406),Intel Core Ultra 5 125H,Intel Arc graphics GEN 1 (tích hợp),75.000,1.300,14.000,2880,1800,5184000,0.000,0.000,31094.000,0,0,1,0,0.5690,0.7834,0.2000,0.4355,0.0000,0.1108,0.0000,null,https://laplap.tech/device/46
Gigabyte AORUS 16X ASG 53VNC54SH,Intel Core i7-14650HX,NVIDIA RTX 4070,99.000,2.343,16.000,2560,1600,4096000,2609.000,14560.000,129836.000,0,0,1,0,0.9828,0.4281,0.6000,0.2832,0.4375,0.5522,0.4055,null,https://laplap.tech/device/45
ASUS Gaming VivoBook K3605ZF-RP634W,Intel Core i5-12500H,NVIDIA RTX 2050,50.000,1.800,16.000,1920,1200,2304000,0.000,0.000,43822.000,0,0,1,0,0.1379,0.6131,0.6000,0.0323,0.0000,0.1677,0.0000,null,https://laplap.tech/device/44
ROG Zephyrus G16 GA605WI-QR090WS,AMD Ryzen AI 9 HX 370,NVIDIA RTX 4070,90.000,1.850,16.000,2560,1600,4096000,0.000,0.000,109512.000,0,1,0,0,0.8276,0.5960,0.6000,0.2832,0.0000,0.4614,0.0000,null,https://laplap.tech/device/43
Apple Macbook Pro M3 14",Apple M3,Apple M3,70.000,1.550,14.200,3024,1964,5939136,0.000,0.000,30479.000,0,0,0,1,0.4828,0.6982,0.2400,0.5412,0.0000,0.1080,0.0000,null,https://laplap.tech/device/42
MSI Cyborg 15 AI A1VEK-053VN,Intel Core Ultra 7 155H,NVIDIA RTX 4050,53.500,1.980,15.600,1920,1080,2073600,0.000,0.000,0.000,0,0,1,0,0.1983,0.5518,0.5200,0.0000,0.0000,0.0000,0.0000,null,https://laplap.tech/device/41
HP Gaming Victus 16-r1182TX A2NN6PA,Intel Core i5-14450HX,NVIDIA RTX 4050,70.000,2.310,16.100,1920,1080,2073600,0.000,0.000,82733.000,0,0,1,0,0.4828,0.4394,0.6200,0.0000,0.0000,0.3417,0.0000,null,https://laplap.tech/device/40
MSI Katana 15 B13VFK 676VN,--,NVIDIA RTX 4060,54.000,2.200,15.600,1920,1080,2073600,0.000,0.000,92836.000,0,0,0,0,0.2069,0.4768,0.5200,0.0000,0.0000,0.3868,0.0000,null,https://laplap.tech/device/39
HP OMEN 16 xf0070AX,AMD Ryzen 9 7940HS,NVIDIA RTX 4070,83.000,2.400,16.100,2560,1440,3686400,0.000,0.000,115478.000,0,1,0,0,0.7069,0.4087,0.6200,0.2258,0.0000,0.4880,0.0000,null,https://laplap.tech/device/38
ASUS Vivobook S 14 M5406WA-PP071WS,AMD Ryzen AI 9 HX 370,AMD Radeon 890M (tích hợp),75.000,1.300,14.000,2880,1800,5184000,0.000,0.000,37188.000,0,1,0,0,0.5690,0.7834,0.2000,0.4355,0.0000,0.1380,0.0000,null,https://laplap.tech/device/37
Acer Predator Helios Neo 16 PHN16-72-950P NH.QNMSV.001,Intel Core i9-14900H,NVIDIA RTX 4070,90.000,2.800,16.000,2560,1600,4096000,0.000,0.000,125225.000,0,0,1,0,0.8276,0.2725,0.6000,0.2832,0.0000,0.5316,0.0000,null,https://laplap.tech/device/36
Asus ROG Zephyrus G14 GA403UV 2024,AMD Ryzen 9 8945HS,NVIDIA RTX 4050,73.000,1.500,14.000,2560,1440,3686400,0.000,0.000,83730.000,0,1,0,0,0.5345,0.7153,0.2000,0.2258,0.0000,0.3461,0.0000,null,https://laplap.tech/device/35
Acer Nitro V 16 ProPanel ANV16-41-R6NA,AMD Ryzen 7 8845HS,NVIDIA RTX 4060,57.000,2.500,16.000,1920,1200,2304000,0.000,0.000,96051.000,0,1,0,0,0.2586,0.3747,0.6000,0.0323,0.0000,0.4012,0.0000,null,https://laplap.tech/device/34
Acer Predator Triton 14 PT14-51-7979,Intel Core i7-13700H,NVIDIA RTX 4070,76.000,1.700,14.000,2560,1600,4096000,0.000,0.000,106493.000,0,0,1,0,0.5862,0.6471,0.2000,0.2832,0.0000,0.4479,0.0000,null,https://laplap.tech/device/33
Lenovo LOQ 15ARP9 83JC0000US,AMD Ryzen 7 7435HS,NVIDIA RTX 4060,60.000,2.400,15.600,1920,1080,2073600,0.000,0.000,0.000,0,1,0,0,0.3103,0.4087,0.5200,0.0000,0.0000,0.0000,0.0000,null,https://laplap.tech/device/32
Lenovo Legion Slim 5 16AHP9,AMD Ryzen 7 8845HS,NVIDIA RTX 4070,80.000,2.300,16.000,2560,1600,4096000,0.000,0.000,121337.000,0,1,0,0,0.6552,0.4428,0.6000,0.2832,0.0000,0.5142,0.0000,null,https://laplap.tech/device/31
Acer Predator Helios Neo 14 PHN14-51-99Y8,Intel Core Ultra 9 185H,NVIDIA RTX 4060,76.000,1.900,14.500,3072,1920,5898240,0.000,0.000,93624.000,0,0,1,0,0.5862,0.5790,0.3000,0.5355,0.0000,0.3903,0.0000,null,https://laplap.tech/device/30
Acer Swift 14 AI SF14-11T SF14-11T-X1M5,Qualcomm Snapdragon X Elite X1E 78 100,Qualcomm Adreno GPU,75.000,0.000,14.500,2560,1600,4096000,0.000,0.000,20740.000,0,0,0,0,0.5690,0.0000,0.3000,0.2832,0.0000,0.0645,0.0000,null,https://laplap.tech/device/29
MSI Gaming Katana A15 AI B8VE-402VN,AMD Ryzen 7 8845HS,NVIDIA RTX 4050,53.500,2.250,15.600,1920,1080,2073600,0.000,0.000,0.000,0,1,0,0,0.1983,0.4598,0.5200,0.0000,0.0000,0.0000,0.0000,null,https://laplap.tech/device/28
ASUS Zenbook 14 OLED UX3405MA-PP151W,Intel Core Ultra 5 125H,Intel Arc graphics GEN 1 (tích hợp),75.000,1.200,14.000,2880,1800,5184000,0.000,0.000,0.000,0,0,1,0,0.5690,0.8174,0.2000,0.4355,0.0000,0.0000,0.0000,null,https://laplap.tech/device/27
Apple Macbook Air M1 13 inch,Apple M1,Apple M1,49.900,1.300,13.300,2560,1600,4096000,2357.000,8724.000,19559.000,0,0,0,1,0.1362,0.7834,0.0600,0.2832,0.3536,0.0592,0.1810,null,https://laplap.tech/device/26
